rebalance_date,added_codes,removed_codes,kept_codes,replacement_basis,weights_snapshot
2016-01-31,"삼성전자(005930), KB금융(105560), 셀트리온(068270), 현대일렉트릭(267260)",-,-,우위재평가/리밸런싱,"삼성전자(005930) 31.1%, 0d; KB금융(105560) 21.1%, 0d; 셀트리온(068270) 6.3%, 0d; 현대일렉트릭(267260) 41.5%, 0d"
2016-02-29,"셀트리온(068270), SK이노베이션(096770)",삼성전자(005930),"KB금융(105560), 현대일렉트릭(267260)",우위재평가/리밸런싱,"KB금융(105560) 6.4%, 30d; 현대일렉트릭(267260) 50.8%, 30d; 셀트리온(068270) 9.2%, 30d; SK이노베이션(096770) 33.6%, 0d"
2016-03-31,삼성전자(005930),"현대일렉트릭(267260), KB금융(105560)","셀트리온(068270), SK이노베이션(096770)",우위재평가/리밸런싱,"셀트리온(068270) 64.0%, 60d; SK이노베이션(096770) 8.7%, 30d; 삼성전자(005930) 27.3%, 0d"
2016-04-30,"SK하이닉스(000660), 현대모비스(012330)",삼성전자(005930),"셀트리온(068270), SK이노베이션(096770)",우위재평가/리밸런싱,"셀트리온(068270) 49.0%, 90d; SK이노베이션(096770) 11.8%, 60d; SK하이닉스(000660) 8.7%, 0d; 현대모비스(012330) 30.5%, 0d"
2016-05-31,"LG화학(051910), SK텔레콤(017670)",-,"셀트리온(068270), SK이노베이션(096770), 현대모비스(012330), SK하이닉스(000660)",우위재평가/리밸런싱,"셀트리온(068270) 1.5%, 120d; SK이노베이션(096770) 3.9%, 90d; 현대모비스(012330) 19.4%, 30d; SK하이닉스(000660) 55.0%, 30d; LG화학(051910) 17.9%, 0d; SK텔레콤(017670) 2.3%, 0d"
2016-06-30,"NAVER(035420), 삼성바이오로직스(207940)","SK하이닉스(000660), SK이노베이션(096770)","현대모비스(012330), SK텔레콤(017670), LG화학(051910), 셀트리온(068270)",우위재평가/리밸런싱,"현대모비스(012330) 18.0%, 60d; SK텔레콤(017670) 13.8%, 30d; LG화학(051910) 38.3%, 30d; 셀트리온(068270) 20.2%, 150d; NAVER(035420) 2.4%, 0d; 삼성바이오로직스(207940) 7.3%, 0d"
2016-07-31,HD현대중공업(329180),"LG화학(051910), 셀트리온(068270), SK텔레콤(017670), 현대모비스(012330)","삼성바이오로직스(207940), NAVER(035420)",우위재평가/리밸런싱,"삼성바이오로직스(207940) 36.8%, 30d; NAVER(035420) 0.6%, 30d; HD현대중공업(329180) 62.6%, 0d"
2016-08-31,"셀트리온(068270), SK텔레콤(017670), SK하이닉스(000660)",-,"삼성바이오로직스(207940), NAVER(035420), HD현대중공업(329180)",우위재평가/리밸런싱,"삼성바이오로직스(207940) 1.5%, 60d; NAVER(035420) 6.2%, 60d; HD현대중공업(329180) 11.9%, 30d; 셀트리온(068270) 25.7%, 0d; SK텔레콤(017670) 0.9%, 0d; SK하이닉스(000660) 53.8%, 0d"
2016-09-30,"KB금융(105560), 현대일렉트릭(267260)","SK하이닉스(000660), SK텔레콤(017670)","삼성바이오로직스(207940), NAVER(035420), HD현대중공업(329180), 셀트리온(068270)",우위재평가/리밸런싱,"삼성바이오로직스(207940) 8.7%, 90d; NAVER(035420) 16.6%, 90d; HD현대중공업(329180) 9.4%, 60d; 셀트리온(068270) 49.4%, 30d; KB금융(105560) 3.5%, 0d; 현대일렉트릭(267260) 12.4%, 0d"
2016-10-31,"셀트리온(068270), 현대모비스(012330)",HD현대중공업(329180),"현대일렉트릭(267260), KB금융(105560), NAVER(035420), 삼성바이오로직스(207940)",우위재평가/리밸런싱,"현대일렉트릭(267260) 32.8%, 30d; KB금융(105560) 37.3%, 30d; NAVER(035420) 23.1%, 120d; 삼성바이오로직스(207940) 5.9%, 120d; 셀트리온(068270) 0.8%, 60d; 현대모비스(012330) 0.1%, 0d"
2016-11-30,"SK텔레콤(017670), 셀트리온(068270)","NAVER(035420), 현대모비스(012330)","현대일렉트릭(267260), KB금융(105560), 삼성바이오로직스(207940)",우위재평가/리밸런싱,"현대일렉트릭(267260) 9.1%, 60d; KB금융(105560) 17.4%, 60d; 삼성바이오로직스(207940) 33.5%, 150d; SK텔레콤(017670) 7.5%, 0d; 셀트리온(068270) 32.5%, 90d"
2016-12-31,현대모비스(012330),"현대일렉트릭(267260), 셀트리온(068270), SK텔레콤(017670)","삼성바이오로직스(207940), KB금융(105560)",우위재평가/리밸런싱,"삼성바이오로직스(207940) 21.7%, 180d; KB금융(105560) 74.0%, 90d; 현대모비스(012330) 4.3%, 0d"
