buy_date,sell_date,stock_code,stock_name,buy_price,sell_price,pnl,reason
2016-01-31,,005930,삼성전자(005930),143913.0,,,신규편입
2016-01-31,,105560,KB금융(105560),160231.0,,,신규편입
2016-01-31,,068270,셀트리온(068270),130476.0,,,신규편입
2016-01-31,,267260,현대일렉트릭(267260),35205.0,,,신규편입
2016-02-29,,096770,SK이노베이션(096770),117080.0,,,신규편입
2016-02-29,,012330,현대모비스(012330),39599.0,,,신규편입
,2016-02-29,105560,KB금융(105560),,94966.0,,교체/약화
,2016-02-29,005930,삼성전자(005930),,33180.0,,교체/약화
2016-03-31,,051910,LG화학(051910),53770.0,,,신규편입
2016-03-31,,207940,삼성바이오로직스(207940),80321.0,,,신규편입
2016-04-30,,267260,현대일렉트릭(267260),41096.0,,,신규편입
2016-04-30,,005930,삼성전자(005930),30762.0,,,신규편입
,2016-04-30,012330,현대모비스(012330),,56165.0,,교체/약화
2016-05-31,,000660,SK하이닉스(000660),163105.0,,,신규편입
2016-05-31,,096770,SK이노베이션(096770),83618.0,,,신규편입
,2016-05-31,267260,현대일렉트릭(267260),,131912.0,,교체/약화
,2016-05-31,005930,삼성전자(005930),,143881.0,,교체/약화
2016-06-30,,005930,삼성전자(005930),151353.0,,,신규편입
2016-06-30,,267260,현대일렉트릭(267260),182181.0,,,신규편입
,2016-06-30,096770,SK이노베이션(096770),,187178.0,,교체/약화
,2016-06-30,068270,셀트리온(068270),,35836.0,,교체/약화
2016-07-31,,096770,SK이노베이션(096770),151713.0,,,신규편입
2016-07-31,,068270,셀트리온(068270),21790.0,,,신규편입
,2016-07-31,267260,현대일렉트릭(267260),,75436.0,,교체/약화
,2016-07-31,207940,삼성바이오로직스(207940),,113761.0,,교체/약화
2016-08-31,,051910,LG화학(051910),71303.0,,,신규편입
2016-08-31,,329180,HD현대중공업(329180),20400.0,,,신규편입
,2016-08-31,096770,SK이노베이션(096770),,66494.0,,교체/약화
,2016-08-31,005930,삼성전자(005930),,120932.0,,교체/약화
2016-09-30,,017670,SK텔레콤(017670),97925.0,,,신규편입
2016-09-30,,035420,NAVER(035420),148792.0,,,신규편입
2016-10-31,,105560,KB금융(105560),82406.0,,,신규편입
2016-10-31,,012330,현대모비스(012330),50089.0,,,신규편입
,2016-10-31,035420,NAVER(035420),,138761.0,,교체/약화
,2016-10-31,000660,SK하이닉스(000660),,59119.0,,교체/약화
,2016-10-31,068270,셀트리온(068270),,20522.0,,교체/약화
2016-11-30,,035420,NAVER(035420),83454.0,,,신규편입
2016-11-30,,105560,KB금융(105560),118876.0,,,신규편입
,2016-11-30,017670,SK텔레콤(017670),,168781.0,,교체/약화
2016-12-31,,207940,삼성바이오로직스(207940),119569.0,,,신규편입
2016-12-31,,329180,HD현대중공업(329180),71212.0,,,신규편입
,2016-12-31,012330,현대모비스(012330),,170511.0,,교체/약화
2017-01-31,,329180,HD현대중공업(329180),66278.0,,,신규편입
2017-01-31,,000660,SK하이닉스(000660),42823.0,,,신규편입
,2017-01-31,035420,NAVER(035420),,86113.0,,교체/약화
,2017-01-31,105560,KB금융(105560),,177970.0,,교체/약화
2017-02-28,,017670,SK텔레콤(017670),170192.0,,,신규편입
2017-02-28,,068270,셀트리온(068270),63702.0,,,신규편입
,2017-02-28,329180,HD현대중공업(329180),,58745.0,,교체/약화
,2017-02-28,207940,삼성바이오로직스(207940),,76024.0,,교체/약화
2017-03-31,,329180,HD현대중공업(329180),175359.0,,,신규편입
2017-03-31,,267260,현대일렉트릭(267260),82829.0,,,신규편입
,2017-03-31,017670,SK텔레콤(017670),,105136.0,,교체/약화
,2017-03-31,051910,LG화학(051910),,107314.0,,교체/약화
2017-04-30,,105560,KB금융(105560),111330.0,,,신규편입
2017-04-30,,017670,SK텔레콤(017670),123622.0,,,신규편입
,2017-04-30,329180,HD현대중공업(329180),,76507.0,,교체/약화
2017-05-31,,096770,SK이노베이션(096770),150444.0,,,신규편입
,2017-05-31,000660,SK하이닉스(000660),,33294.0,,교체/약화
,2017-05-31,267260,현대일렉트릭(267260),,129251.0,,교체/약화
,2017-05-31,017670,SK텔레콤(017670),,31412.0,,교체/약화
2017-06-30,,329180,HD현대중공업(329180),165879.0,,,신규편입
2017-06-30,,035420,NAVER(035420),32993.0,,,신규편입
2017-07-31,,329180,HD현대중공업(329180),126114.0,,,신규편입
,2017-07-31,035420,NAVER(035420),,190172.0,,교체/약화
,2017-07-31,105560,KB금융(105560),,74042.0,,교체/약화
2017-08-31,,035420,NAVER(035420),76581.0,,,신규편입
2017-08-31,,105560,KB금융(105560),96386.0,,,신규편입
2017-09-30,,096770,SK이노베이션(096770),105974.0,,,신규편입
2017-09-30,,017670,SK텔레콤(017670),27376.0,,,신규편입
,2017-09-30,329180,HD현대중공업(329180),,152182.0,,교체/약화
2017-10-31,,000660,SK하이닉스(000660),111848.0,,,신규편입
2017-10-31,,012330,현대모비스(012330),25078.0,,,신규편입
,2017-10-31,105560,KB금융(105560),,144108.0,,교체/약화
,2017-10-31,096770,SK이노베이션(096770),,180239.0,,교체/약화
,2017-10-31,068270,셀트리온(068270),,45784.0,,교체/약화
2017-11-30,,267260,현대일렉트릭(267260),65191.0,,,신규편입
2017-11-30,,005930,삼성전자(005930),146229.0,,,신규편입
2017-12-31,,012330,현대모비스(012330),166466.0,,,신규편입
2017-12-31,,207940,삼성바이오로직스(207940),124524.0,,,신규편입
,2017-12-31,017670,SK텔레콤(017670),,197219.0,,교체/약화
,2017-12-31,005930,삼성전자(005930),,169042.0,,교체/약화
2018-01-31,,096770,SK이노베이션(096770),147952.0,,,신규편입
2018-01-31,,017670,SK텔레콤(017670),186638.0,,,신규편입
,2018-01-31,000660,SK하이닉스(000660),,120261.0,,교체/약화
,2018-01-31,267260,현대일렉트릭(267260),,151012.0,,교체/약화
2018-02-28,,051910,LG화학(051910),85308.0,,,신규편입
2018-02-28,,000660,SK하이닉스(000660),121333.0,,,신규편입
,2018-02-28,035420,NAVER(035420),,55999.0,,교체/약화
,2018-02-28,096770,SK이노베이션(096770),,21290.0,,교체/약화
2018-03-31,,000660,SK하이닉스(000660),76144.0,,,신규편입
2018-03-31,,035420,NAVER(035420),146698.0,,,신규편입
,2018-03-31,051910,LG화학(051910),,162195.0,,교체/약화
,2018-03-31,012330,현대모비스(012330),,141817.0,,교체/약화
2018-04-30,,207940,삼성바이오로직스(207940),52900.0,,,신규편입
2018-04-30,,105560,KB금융(105560),86356.0,,,신규편입
