date,stock_code,stock_name,weight_pct,holding_days
2016-01-31,005930,삼성전자(005930),31.1,0
2016-01-31,105560,KB금융(105560),21.1,0
2016-01-31,068270,셀트리온(068270),6.3,0
2016-01-31,267260,현대일렉트릭(267260),41.5,0
2016-02-29,105560,KB금융(105560),6.4,30
2016-02-29,267260,현대일렉트릭(267260),50.8,30
2016-02-29,068270,셀트리온(068270),9.2,30
2016-02-29,096770,SK이노베이션(096770),33.6,0
2016-03-31,068270,셀트리온(068270),64.0,60
2016-03-31,096770,SK이노베이션(096770),8.7,30
2016-03-31,005930,삼성전자(005930),27.3,0
2016-04-30,068270,셀트리온(068270),49.0,90
2016-04-30,096770,SK이노베이션(096770),11.8,60
2016-04-30,000660,SK하이닉스(000660),8.7,0
2016-04-30,012330,현대모비스(012330),30.5,0
2016-05-31,068270,셀트리온(068270),1.5,120
2016-05-31,096770,SK이노베이션(096770),3.9,90
2016-05-31,012330,현대모비스(012330),19.4,30
2016-05-31,000660,SK하이닉스(000660),55.0,30
2016-05-31,051910,LG화학(051910),17.9,0
2016-05-31,017670,SK텔레콤(017670),2.3,0
2016-06-30,012330,현대모비스(012330),18.0,60
2016-06-30,017670,SK텔레콤(017670),13.8,30
2016-06-30,051910,LG화학(051910),38.3,30
2016-06-30,068270,셀트리온(068270),20.2,150
2016-06-30,035420,NAVER(035420),2.4,0
2016-06-30,207940,삼성바이오로직스(207940),7.3,0
2016-07-31,207940,삼성바이오로직스(207940),36.8,30
2016-07-31,035420,NAVER(035420),0.6,30
2016-07-31,329180,HD현대중공업(329180),62.6,0
2016-08-31,207940,삼성바이오로직스(207940),1.5,60
2016-08-31,035420,NAVER(035420),6.2,60
2016-08-31,329180,HD현대중공업(329180),11.9,30
2016-08-31,068270,셀트리온(068270),25.7,0
2016-08-31,017670,SK텔레콤(017670),0.9,0
2016-08-31,000660,SK하이닉스(000660),53.8,0
2016-09-30,207940,삼성바이오로직스(207940),8.7,90
2016-09-30,035420,NAVER(035420),16.6,90
2016-09-30,329180,HD현대중공업(329180),9.4,60
2016-09-30,068270,셀트리온(068270),49.4,30
2016-09-30,105560,KB금융(105560),3.5,0
2016-09-30,267260,현대일렉트릭(267260),12.4,0
2016-10-31,267260,현대일렉트릭(267260),32.8,30
2016-10-31,105560,KB금융(105560),37.3,30
2016-10-31,035420,NAVER(035420),23.1,120
2016-10-31,207940,삼성바이오로직스(207940),5.9,120
2016-10-31,068270,셀트리온(068270),0.8,60
2016-10-31,012330,현대모비스(012330),0.1,0
2016-11-30,267260,현대일렉트릭(267260),9.1,60
