date,stock_code,stock_name,weight_pct,holding_days
2016-02-29,017670,SK텔레콤(017670),54.7,0
2016-02-29,015760,한국전력(015760),24.0,0
2016-02-29,064350,현대로템(064350),15.4,0
2016-02-29,005380,현대차(005380),3.0,0
2016-02-29,034730,SK(034730),2.9,0
2016-02-29,039490,키움증권(039490),0.0,0
2016-03-31,022100,포스코DX(022100),50.0,0
2016-03-31,015760,한국전력(015760),25.4,31
2016-03-31,064350,현대로템(064350),18.7,31
2016-03-31,005380,현대차(005380),3.2,31
2016-03-31,034730,SK(034730),2.7,31
2016-03-31,039490,키움증권(039490),0.0,31
2016-04-29,022100,포스코DX(022100),53.3,29
2016-04-29,015760,한국전력(015760),23.8,60
2016-04-29,064350,현대로템(064350),17.7,60
2016-04-29,005380,현대차(005380),2.7,60
2016-04-29,034730,SK(034730),2.5,60
2016-04-29,042660,한화오션(042660),0.0,0
2016-05-31,022100,포스코DX(022100),54.6,61
2016-05-31,015760,한국전력(015760),23.6,92
2016-05-31,064350,현대로템(064350),16.8,92
2016-05-31,005380,현대차(005380),2.6,92
2016-05-31,034730,SK(034730),2.5,92
2016-05-31,005385,현대차우(005385),0.0,0
2016-06-30,022100,포스코DX(022100),56.3,91
2016-06-30,015760,한국전력(015760),22.3,122
2016-06-30,064350,현대로템(064350),16.8,122
2016-06-30,005380,현대차(005380),2.5,122
2016-06-30,034730,SK(034730),2.1,122
2016-06-30,000250,삼천당제약(000250),0.0,0
2016-07-29,022100,포스코DX(022100),53.5,120
2016-07-29,015760,한국전력(015760),22.2,151
2016-07-29,064350,현대로템(064350),19.8,151
2016-07-29,005380,현대차(005380),2.4,151
2016-07-29,034730,SK(034730),2.2,151
2016-07-29,039490,키움증권(039490),0.0,0
2016-08-31,022100,포스코DX(022100),52.3,153
2016-08-31,064350,현대로템(064350),22.2,184
2016-08-31,015760,한국전력(015760),21.0,184
2016-08-31,005490,POSCO홀딩스(005490),2.4,0
2016-08-31,034730,SK(034730),2.2,184
2016-08-31,039490,키움증권(039490),0.0,33
2016-09-30,022100,포스코DX(022100),53.6,183
2016-09-30,015760,한국전력(015760),21.0,214
2016-09-30,064350,현대로템(064350),20.5,214
2016-09-30,005490,POSCO홀딩스(005490),2.5,30
2016-09-30,034730,SK(034730),2.4,214
2016-09-30,010140,삼성중공업(010140),0.0,0
2016-10-31,022100,포스코DX(022100),55.7,214
2016-10-31,098460,고영(098460),24.5,0
2016-10-31,012330,현대모비스(012330),14.5,0
2016-10-31,005490,POSCO홀딩스(005490),2.7,61
2016-10-31,034730,SK(034730),2.6,245
2016-10-31,055550,신한지주(055550),0.0,0
2016-11-30,005935,삼성전자우(005935),55.7,0
2016-11-30,098460,고영(098460),24.5,30
2016-11-30,012330,현대모비스(012330),13.9,30
2016-11-30,005490,POSCO홀딩스(005490),3.0,91
2016-11-30,034730,SK(034730),2.8,275
2016-11-30,055550,신한지주(055550),0.0,30
2016-12-29,005935,삼성전자우(005935),55.8,29
2016-12-29,098460,고영(098460),24.7,59
2016-12-29,012330,현대모비스(012330),13.9,59
2016-12-29,087010,펩트론(087010),2.9,0
2016-12-29,034730,SK(034730),2.7,304
2016-12-29,055550,신한지주(055550),0.0,59
2017-01-31,005935,삼성전자우(005935),59.2,62
2017-01-31,098460,고영(098460),23.2,92
2017-01-31,012330,현대모비스(012330),12.3,92
2017-01-31,010120,LS ELECTRIC(010120),2.9,0
2017-01-31,034730,SK(034730),2.4,337
2017-01-31,055550,신한지주(055550),0.0,92
2017-02-28,005935,삼성전자우(005935),55.5,90
2017-02-28,098460,고영(098460),26.3,120
2017-02-28,012330,현대모비스(012330),12.8,120
2017-02-28,010120,LS ELECTRIC(010120),2.9,28
2017-02-28,034730,SK(034730),2.4,365
2017-02-28,009540,HD한국조선해양(009540),0.0,0
2017-03-31,005935,삼성전자우(005935),57.1,121
2017-03-31,098460,고영(098460),25.7,151
2017-03-31,012330,현대모비스(012330),11.6,151
2017-03-31,010120,LS ELECTRIC(010120),3.1,59
2017-03-31,034730,SK(034730),2.6,396
2017-03-31,087010,펩트론(087010),0.0,0
2017-04-28,005935,삼성전자우(005935),59.0,149
2017-04-28,098460,고영(098460),25.4,179
2017-04-28,012330,현대모비스(012330),10.1,179
2017-04-28,010120,LS ELECTRIC(010120),3.1,87
2017-04-28,034730,SK(034730),2.4,424
2017-04-28,128940,한미약품(128940),0.0,0
2017-05-31,141080,리가켐바이오(141080),56.0,0
2017-05-31,098460,고영(098460),26.2,212
2017-05-31,012330,현대모비스(012330),12.0,212
2017-05-31,010120,LS ELECTRIC(010120),3.2,120
2017-05-31,034730,SK(034730),2.6,457
2017-05-31,128940,한미약품(128940),0.0,33
2017-06-30,141080,리가켐바이오(141080),57.2,30
2017-06-30,098460,고영(098460),26.4,242
2017-06-30,012330,현대모비스(012330),10.6,242
2017-06-30,010120,LS ELECTRIC(010120),3.2,150
2017-06-30,083650,비에이치아이(083650),2.6,0
2017-06-30,128940,한미약품(128940),0.0,63
2017-07-31,141080,리가켐바이오(141080),54.4,61
2017-07-31,098460,고영(098460),29.3,273
2017-07-31,012330,현대모비스(012330),10.8,273
2017-07-31,010120,LS ELECTRIC(010120),3.4,181
2017-07-31,035720,카카오(035720),2.0,0
2017-07-31,204320,HL만도(204320),0.0,0
2017-08-31,141080,리가켐바이오(141080),57.5,92
2017-08-31,042700,한미반도체(042700),27.0,0
2017-08-31,012330,현대모비스(012330),10.1,304
